--------------------------------------------------------------------------------
Datum und Uhrzeit: 2023-06-26 21:25:52
Passwortalter, Datum der letzten Anmeldung und Anzahl der Logins für jeden Benutzer:


Benutzername         Passwortalter                               Letzte Anmeldung    Anzahl der Logins
------------         -------------                               ----------------    -----------------
aagas_rasu           1 Tage, 10 Stunden, 46 Minuten, 0 Sekunden  26.06.2023 17:37:27                 6
dominic_obrecht      1 Tage, 10 Stunden, 47 Minuten, 11 Sekunden                                     0
dominic_remensberger 1 Tage, 10 Stunden, 45 Minuten, 29 Sekunden                                     0
dominik_baumgartner  1 Tage, 10 Stunden, 46 Minuten, 23 Sekunden                                     0
dominik_filliger     1 Tage, 10 Stunden, 45 Minuten, 38 Sekunden                                     0
dominik_hunziker     1 Tage, 10 Stunden, 44 Minuten, 54 Sekunden                                     0
dominik_kaempfer     1 Tage, 10 Stunden, 46 Minuten, 40 Sekunden                                     0
dominik_pereiraalves 1 Tage, 10 Stunden, 45 Minuten, 30 Sekunden                                     0
dominik_suter        1 Tage, 10 Stunden, 46 Minuten, 53 Sekunden                                     0
dominik_zwygart      1 Tage, 10 Stunden, 48 Minuten, 4 Sekunden                                      0
dominique_muehlheim  1 Tage, 10 Stunden, 47 Minuten, 14 Sekunden                                     0
dominique_spoya      1 Tage, 10 Stunden, 46 Minuten, 56 Sekunden                                     0
dragan_markovic      1 Tage, 10 Stunden, 47 Minuten, 17 Sekunden                                     0
driart_haliti        1 Tage, 10 Stunden, 44 Minuten, 49 Sekunden                                     0
driton_avdili        1 Tage, 10 Stunden, 47 Minuten, 57 Sekunden                                     0
duan_aliu            1 Tage, 10 Stunden, 46 Minuten, 14 Sekunden                                     0
dzenis_poljak        1 Tage, 10 Stunden, 47 Minuten, 9 Sekunden                                      0
ebenez_raveendran    1 Tage, 10 Stunden, 45 Minuten, 3 Sekunden                                      0
ecehanarife_erken    1 Tage, 10 Stunden, 47 Minuten, 41 Sekunden                                     0
eda_yilmaz           1 Tage, 10 Stunden, 44 Minuten, 58 Sekunden                                     0
edi_shabani          1 Tage, 10 Stunden, 46 Minuten, 58 Sekunden                                     0
edita_idrizi         1 Tage, 10 Stunden, 45 Minuten, 42 Sekunden                                     0
edmond_shatrolli     1 Tage, 10 Stunden, 46 Minuten, 2 Sekunden                                      0
edon_aslani          1 Tage, 10 Stunden, 45 Minuten, 18 Sekunden                                     0
edona_idrizi         1 Tage, 10 Stunden, 46 Minuten, 11 Sekunden                                     0
efecan_sakal         1 Tage, 10 Stunden, 45 Minuten, 9 Sekunden                                      0
efrem_yosief         1 Tage, 10 Stunden, 44 Minuten, 58 Sekunden                                     0
elena_lanaro         1 Tage, 10 Stunden, 46 Minuten, 33 Sekunden                                     0
elena_meyer          1 Tage, 10 Stunden, 44 Minuten, 59 Sekunden                                     0
elez_sejdini         1 Tage, 10 Stunden, 45 Minuten, 0 Sekunden                                      0
elfat_olomani        1 Tage, 10 Stunden, 46 Minuten, 12 Sekunden                                     0
elia_delfrate        1 Tage, 10 Stunden, 45 Minuten, 25 Sekunden                                     0
elia_naef            1 Tage, 10 Stunden, 45 Minuten, 55 Sekunden                                     0
elia_richichi        1 Tage, 10 Stunden, 45 Minuten, 16 Sekunden                                     0
eliane_fankhauser    1 Tage, 10 Stunden, 45 Minuten, 34 Sekunden                                     0
elias_gasser         1 Tage, 10 Stunden, 44 Minuten, 52 Sekunden                                     0
elias_ingold2        1 Tage, 10 Stunden, 47 Minuten, 27 Sekunden                                     0
elias_nobs           1 Tage, 10 Stunden, 47 Minuten, 12 Sekunden                                     0
elias_orlandi        1 Tage, 10 Stunden, 48 Minuten, 6 Sekunden                                      0
elias_tonini         1 Tage, 10 Stunden, 46 Minuten, 52 Sekunden                                     0
eliecer_wernle       1 Tage, 10 Stunden, 46 Minuten, 24 Sekunden                                     0
elif_eser            1 Tage, 10 Stunden, 47 Minuten, 40 Sekunden                                     0
elijan_kastrati      1 Tage, 10 Stunden, 47 Minuten, 24 Sekunden                                     0
ellen_fernandes      1 Tage, 10 Stunden, 47 Minuten, 39 Sekunden                                     0
emanuel_wyss         1 Tage, 10 Stunden, 46 Minuten, 43 Sekunden                                     0
emanuele_pintarelli  1 Tage, 10 Stunden, 45 Minuten, 26 Sekunden                                     0
emanueljona_cankalp  1 Tage, 10 Stunden, 45 Minuten, 57 Sekunden                                     0
emilie_fluekiger     1 Tage, 10 Stunden, 46 Minuten, 3 Sekunden                                      0
emily_schmid         1 Tage, 10 Stunden, 47 Minuten, 1 Sekunden                                      0
emir_mujanovic       1 Tage, 10 Stunden, 44 Minuten, 36 Sekunden                                     0
emir_rustemi         1 Tage, 10 Stunden, 47 Minuten, 4 Sekunden                                      0
emirhan_erbilgic     1 Tage, 10 Stunden, 44 Minuten, 50 Sekunden                                     0
emre_semiz           1 Tage, 10 Stunden, 46 Minuten, 58 Sekunden                                     0
endrit_sadiku        1 Tage, 10 Stunden, 46 Minuten, 5 Sekunden                                      0
enis_dzeljilji       1 Tage, 10 Stunden, 44 Minuten, 56 Sekunden                                     0
ennio_donofrio       1 Tage, 10 Stunden, 45 Minuten, 30 Sekunden                                     0
enrika_zullufi       1 Tage, 10 Stunden, 45 Minuten, 22 Sekunden                                     0
ensar_zulfikjari     1 Tage, 10 Stunden, 45 Minuten, 0 Sekunden                                      0
erdom_tsigehanes     1 Tage, 10 Stunden, 44 Minuten, 39 Sekunden                                     0
eren_cemali          1 Tage, 10 Stunden, 44 Minuten, 54 Sekunden                                     0
eric_ackermann       1 Tage, 10 Stunden, 46 Minuten, 40 Sekunden                                     0
eric_gabriel         1 Tage, 10 Stunden, 45 Minuten, 3 Sekunden                                      0
ericrene_schaller    1 Tage, 10 Stunden, 47 Minuten, 3 Sekunden                                      0
erin_giezendanner    1 Tage, 10 Stunden, 47 Minuten, 34 Sekunden                                     0
erjasara_rothen      1 Tage, 10 Stunden, 45 Minuten, 20 Sekunden                                     0
erjon_krasniqi       1 Tage, 10 Stunden, 45 Minuten, 57 Sekunden                                     0
ermal_polisi         1 Tage, 10 Stunden, 46 Minuten, 34 Sekunden                                     0
ertugrul_kuecuek     1 Tage, 10 Stunden, 46 Minuten, 27 Sekunden                                     0
erva_yamac           1 Tage, 10 Stunden, 45 Minuten, 11 Sekunden                                     0
esna_doener          1 Tage, 10 Stunden, 47 Minuten, 42 Sekunden                                     0
evenezer_zaid        1 Tage, 10 Stunden, 46 Minuten, 12 Sekunden                                     0
ewen_jenni           1 Tage, 10 Stunden, 45 Minuten, 31 Sekunden                                     0
eynollah_hassani     1 Tage, 10 Stunden, 44 Minuten, 53 Sekunden                                     0
fabia_zingaro        1 Tage, 10 Stunden, 46 Minuten, 34 Sekunden                                     0
fabian_affolter      1 Tage, 10 Stunden, 48 Minuten, 14 Sekunden                                     0
fabian_ameti         1 Tage, 10 Stunden, 45 Minuten, 26 Sekunden                                     0
fabian_bader3        1 Tage, 10 Stunden, 45 Minuten, 12 Sekunden                                     0
fabian_haenzi        1 Tage, 10 Stunden, 47 Minuten, 30 Sekunden                                     0
fabian_henzi         1 Tage, 10 Stunden, 46 Minuten, 17 Sekunden                                     0
fabian_steiner       1 Tage, 10 Stunden, 45 Minuten, 44 Sekunden                                     0
fabian_wenk          1 Tage, 10 Stunden, 48 Minuten, 16 Sekunden                                     0
fabian_winistoerfer  1 Tage, 10 Stunden, 46 Minuten, 44 Sekunden                                     0
fabienne_aerni       1 Tage, 10 Stunden, 47 Minuten, 58 Sekunden                                     0
fabienne_baumann     1 Tage, 10 Stunden, 46 Minuten, 17 Sekunden                                     0
fabienne_kuenzli     1 Tage, 10 Stunden, 45 Minuten, 37 Sekunden                                     0
fabienne_sutter      1 Tage, 10 Stunden, 46 Minuten, 53 Sekunden                                     0
fabio_fraeulin       1 Tage, 10 Stunden, 47 Minuten, 38 Sekunden                                     0
fabio_haefelin       1 Tage, 10 Stunden, 45 Minuten, 34 Sekunden                                     0
fabio_loettgen       1 Tage, 10 Stunden, 45 Minuten, 34 Sekunden                                     0
fabio_mueller        1 Tage, 10 Stunden, 48 Minuten, 14 Sekunden                                     0
fabio_schmuki        1 Tage, 10 Stunden, 45 Minuten, 23 Sekunden                                     0
fabio_sutter         1 Tage, 10 Stunden, 45 Minuten, 32 Sekunden                                     0
fabio_vonrohr        1 Tage, 10 Stunden, 46 Minuten, 22 Sekunden                                     0
fabio_zanchetti      1 Tage, 10 Stunden, 46 Minuten, 42 Sekunden                                     0
fabiomaick_friedli   1 Tage, 10 Stunden, 47 Minuten, 37 Sekunden                                     0
fabrice_saegesser    1 Tage, 10 Stunden, 46 Minuten, 24 Sekunden                                     0
fahir_jusufi         1 Tage, 10 Stunden, 47 Minuten, 25 Sekunden                                     0
faredin_hetemi       1 Tage, 10 Stunden, 45 Minuten, 33 Sekunden                                     0
fatlind_haziri       1 Tage, 10 Stunden, 44 Minuten, 55 Sekunden                                     0
federica_pierandrei  1 Tage, 10 Stunden, 46 Minuten, 13 Sekunden                                     0
fedi_slaimi          1 Tage, 10 Stunden, 44 Minuten, 55 Sekunden                                     0
felix_bruderer       1 Tage, 10 Stunden, 45 Minuten, 58 Sekunden                                     0
ferdi_saiti          1 Tage, 10 Stunden, 47 Minuten, 4 Sekunden                                      0
fida_hashimi         1 Tage, 10 Stunden, 44 Minuten, 37 Sekunden                                     0
filimon_abraham      1 Tage, 10 Stunden, 44 Minuten, 39 Sekunden                                     0
filimon_efrem        1 Tage, 10 Stunden, 45 Minuten, 21 Sekunden                                     0
filimon_fekre        1 Tage, 10 Stunden, 45 Minuten, 21 Sekunden                                     0
filip_topalovic      1 Tage, 10 Stunden, 46 Minuten, 51 Sekunden                                     0
filmawit_hasho       1 Tage, 10 Stunden, 47 Minuten, 30 Sekunden                                     0
filmon_teklehaimanot 1 Tage, 10 Stunden, 44 Minuten, 59 Sekunden                                     0
filomena_grimm       1 Tage, 10 Stunden, 46 Minuten, 41 Sekunden                                     0
fiona_buser          1 Tage, 10 Stunden, 46 Minuten, 14 Sekunden                                     0
fiona_luterbacher    1 Tage, 10 Stunden, 47 Minuten, 17 Sekunden                                     0
fiori_teame          1 Tage, 10 Stunden, 48 Minuten, 4 Sekunden                                      0
fitim_rexhepi        1 Tage, 10 Stunden, 45 Minuten, 59 Sekunden                                     0
fitim_saciri         1 Tage, 10 Stunden, 46 Minuten, 11 Sekunden                                     0
flamur_xhema         1 Tage, 10 Stunden, 45 Minuten, 43 Sekunden                                     0
florian_bastug       1 Tage, 10 Stunden, 45 Minuten, 38 Sekunden                                     0
florian_leimer       1 Tage, 10 Stunden, 46 Minuten, 28 Sekunden                                     0
florian_luescher2    1 Tage, 10 Stunden, 45 Minuten, 34 Sekunden                                     0
florin_barbisch      1 Tage, 10 Stunden, 48 Minuten, 15 Sekunden                                     0
flurin_gasser        1 Tage, 10 Stunden, 48 Minuten, 3 Sekunden                                      0
francesco_bonavita   1 Tage, 10 Stunden, 47 Minuten, 54 Sekunden                                     0
francesco_burgo      1 Tage, 10 Stunden, 47 Minuten, 52 Sekunden                                     0
francesco_cannizzo   1 Tage, 10 Stunden, 45 Minuten, 19 Sekunden                                     0
franco_lanz          1 Tage, 10 Stunden, 47 Minuten, 21 Sekunden                                     0
frank_schmitt        1 Tage, 10 Stunden, 45 Minuten, 51 Sekunden                                     0
frederico_camposfari 1 Tage, 10 Stunden, 36 Minuten, 55 Sekunden                                     0
furkan_eren          1 Tage, 10 Stunden, 46 Minuten, 38 Sekunden                                     0
furkan_or            1 Tage, 10 Stunden, 47 Minuten, 10 Sekunden                                     0
gabriel_fuerst       1 Tage, 10 Stunden, 48 Minuten, 11 Sekunden                                     0
gabriel_hirschi      1 Tage, 10 Stunden, 45 Minuten, 57 Sekunden                                     0
gabriel_kuhn         1 Tage, 10 Stunden, 47 Minuten, 22 Sekunden                                     0
gabriel_stampfli     1 Tage, 10 Stunden, 48 Minuten, 5 Sekunden                                      0
gabriele_ierano      1 Tage, 10 Stunden, 46 Minuten, 39 Sekunden                                     0
gabriele_rebollo     1 Tage, 10 Stunden, 45 Minuten, 56 Sekunden                                     0
gencay_yigit         1 Tage, 10 Stunden, 46 Minuten, 42 Sekunden                                     0
gentrit_musiqi       1 Tage, 10 Stunden, 47 Minuten, 13 Sekunden                                     0
ghaida_salmou        1 Tage, 10 Stunden, 44 Minuten, 39 Sekunden                                     0
gian_fasnacht        1 Tage, 10 Stunden, 47 Minuten, 40 Sekunden                                     0
gian_jakob           1 Tage, 10 Stunden, 47 Minuten, 27 Sekunden                                     0
gian_koella          1 Tage, 10 Stunden, 46 Minuten, 34 Sekunden                                     0
gian_parpan          1 Tage, 10 Stunden, 45 Minuten, 31 Sekunden                                     0
gianandri_wyss       1 Tage, 10 Stunden, 46 Minuten, 5 Sekunden                                      0
gianfranco_muramati  1 Tage, 10 Stunden, 45 Minuten, 34 Sekunden                                     0
gianluca_nica        1 Tage, 10 Stunden, 46 Minuten, 22 Sekunden                                     0
gianluca_rubino      1 Tage, 10 Stunden, 47 Minuten, 4 Sekunden                                      0
gianni_mattiello     1 Tage, 10 Stunden, 46 Minuten, 3 Sekunden                                      0
giannirenato_fux     1 Tage, 10 Stunden, 45 Minuten, 30 Sekunden                                     0
gildeyck_liradossant 1 Tage, 10 Stunden, 37 Minuten, 7 Sekunden                                      0
gina_eichenberger    1 Tage, 10 Stunden, 47 Minuten, 42 Sekunden                                     0
gina_nyffeler        1 Tage, 10 Stunden, 48 Minuten, 7 Sekunden                                      0
gioia_zuercher       1 Tage, 10 Stunden, 46 Minuten, 14 Sekunden                                     0
giulia_alviano       1 Tage, 10 Stunden, 46 Minuten, 7 Sekunden                                      0
giulia_attanasio     1 Tage, 10 Stunden, 45 Minuten, 43 Sekunden                                     0
giuliano_bufalino    1 Tage, 10 Stunden, 45 Minuten, 50 Sekunden                                     0
giulio_caputo        1 Tage, 10 Stunden, 46 Minuten, 23 Sekunden                                     0
gjelbrim_elezi       1 Tage, 10 Stunden, 47 Minuten, 41 Sekunden                                     0
gjyljet_bajramaj     1 Tage, 10 Stunden, 48 Minuten, 13 Sekunden                                     0
gloria_scheidegger   1 Tage, 10 Stunden, 45 Minuten, 8 Sekunden                                      0
gnanendran_rasu      1 Tage, 10 Stunden, 44 Minuten, 55 Sekunden                                     0
gobitha_yogeswaran   1 Tage, 10 Stunden, 45 Minuten, 52 Sekunden                                     0
goekhan_soenmez      1 Tage, 10 Stunden, 45 Minuten, 36 Sekunden                                     0
gregory_scholl       1 Tage, 10 Stunden, 44 Minuten, 47 Sekunden                                     0
guilherme_reis       1 Tage, 10 Stunden, 47 Minuten, 7 Sekunden                                      0
guillem_gelabertsune 1 Tage, 10 Stunden, 36 Minuten, 59 Sekunden                                     0
habteab_eyob         1 Tage, 10 Stunden, 44 Minuten, 46 Sekunden                                     0
hakan_cenik          1 Tage, 10 Stunden, 45 Minuten, 18 Sekunden                                     0
hakki_kahraman       1 Tage, 10 Stunden, 45 Minuten, 8 Sekunden                                      0
halim_fetija         1 Tage, 10 Stunden, 47 Minuten, 39 Sekunden                                     0
hammas_safari        1 Tage, 10 Stunden, 45 Minuten, 53 Sekunden                                     0
hasina_fazli         1 Tage, 10 Stunden, 44 Minuten, 42 Sekunden                                     0
hasnae_louridi       1 Tage, 10 Stunden, 47 Minuten, 18 Sekunden                                     0
hendrik_cansu        1 Tage, 10 Stunden, 46 Minuten, 28 Sekunden                                     0
henok_mehari         1 Tage, 10 Stunden, 48 Minuten, 7 Sekunden                                      0
henok_tesfasilassie  1 Tage, 10 Stunden, 44 Minuten, 47 Sekunden                                     0
henrik_flueckiger    1 Tage, 10 Stunden, 46 Minuten, 6 Sekunden                                      0
hiryti_alemnegus     1 Tage, 10 Stunden, 44 Minuten, 47 Sekunden                                     0
hongnhungdiana_bui   1 Tage, 10 Stunden, 47 Minuten, 52 Sekunden                                     0
hueseyin_akcay       1 Tage, 10 Stunden, 47 Minuten, 58 Sekunden                                     0
huliparfaite_nyiraka 1 Tage, 10 Stunden, 37 Minuten, 2 Sekunden                                      0
hurie_osmani         1 Tage, 10 Stunden, 47 Minuten, 10 Sekunden                                     0
ilayda_kozlu         1 Tage, 10 Stunden, 46 Minuten, 30 Sekunden                                     0
ilaz_gashi           1 Tage, 10 Stunden, 47 Minuten, 35 Sekunden                                     0
ionut-mirel_simbetea 1 Tage, 10 Stunden, 37 Minuten, 0 Sekunden                                      0
iris_kaiser          1 Tage, 10 Stunden, 47 Minuten, 25 Sekunden                                     0
issa_khalili         1 Tage, 10 Stunden, 44 Minuten, 42 Sekunden                                     0
iuri_pinchuk         1 Tage, 10 Stunden, 45 Minuten, 0 Sekunden                                      0
ivan_eberhard        1 Tage, 10 Stunden, 48 Minuten, 11 Sekunden                                     0
ivan_pazformoso      1 Tage, 10 Stunden, 47 Minuten, 10 Sekunden                                     0
ivana_grossmann      1 Tage, 10 Stunden, 46 Minuten, 26 Sekunden                                     0
ivana_jozic          1 Tage, 10 Stunden, 47 Minuten, 26 Sekunden                                     0
ivanluca_studer      1 Tage, 10 Stunden, 46 Minuten, 34 Sekunden                                     0
jacobniklas_kock     1 Tage, 10 Stunden, 47 Minuten, 23 Sekunden                                     0
jade_duss            1 Tage, 10 Stunden, 44 Minuten, 52 Sekunden                                     0
jahed_forugh         1 Tage, 10 Stunden, 45 Minuten, 36 Sekunden                                     0
jakkrapat_sae-wang   1 Tage, 10 Stunden, 46 Minuten, 39 Sekunden                                     0
jalasan_srijanagakum 1 Tage, 10 Stunden, 46 Minuten, 56 Sekunden                                     0
jaleshan_selvabalan  1 Tage, 10 Stunden, 45 Minuten, 24 Sekunden                                     0
jamil_cardinaux      1 Tage, 10 Stunden, 44 Minuten, 51 Sekunden                                     0
jan_barrer           1 Tage, 10 Stunden, 46 Minuten, 17 Sekunden                                     0
jan_bruegger         1 Tage, 10 Stunden, 47 Minuten, 53 Sekunden                                     0
jan_buettler         1 Tage, 10 Stunden, 47 Minuten, 51 Sekunden                                     0
jan_escurriola       1 Tage, 10 Stunden, 47 Minuten, 41 Sekunden                                     0
jan_flury            1 Tage, 10 Stunden, 47 Minuten, 38 Sekunden                                     0
jan_gasser           1 Tage, 10 Stunden, 47 Minuten, 35 Sekunden                                     0
jan_geisser          1 Tage, 10 Stunden, 48 Minuten, 16 Sekunden                                     0
jan_leuenberger      1 Tage, 10 Stunden, 47 Minuten, 20 Sekunden                                     0
jan_niederhauser     1 Tage, 10 Stunden, 46 Minuten, 39 Sekunden                                     0
jan_portenier        1 Tage, 10 Stunden, 45 Minuten, 34 Sekunden                                     0
jan_rohde            1 Tage, 10 Stunden, 47 Minuten, 5 Sekunden                                      0
jan_roweck           1 Tage, 10 Stunden, 44 Minuten, 48 Sekunden                                     0
jan_schaerli         1 Tage, 10 Stunden, 48 Minuten, 6 Sekunden                                      0
jan_spaeti           1 Tage, 10 Stunden, 45 Minuten, 5 Sekunden                                      0
jan_steinlechner     1 Tage, 10 Stunden, 46 Minuten, 55 Sekunden                                     0
jan_tautschnig       1 Tage, 10 Stunden, 44 Minuten, 57 Sekunden                                     0
jan_vandenheuvel     1 Tage, 10 Stunden, 45 Minuten, 45 Sekunden                                     0
jan_zuercher         1 Tage, 10 Stunden, 45 Minuten, 12 Sekunden                                     0
jana_eberhard        1 Tage, 10 Stunden, 45 Minuten, 8 Sekunden                                      0
jana_jossi           1 Tage, 10 Stunden, 45 Minuten, 29 Sekunden                                     0
jana_kopp            1 Tage, 10 Stunden, 47 Minuten, 22 Sekunden                                     0
jana_slezinger       1 Tage, 10 Stunden, 48 Minuten, 16 Sekunden                                     0
janick_kurth         1 Tage, 10 Stunden, 47 Minuten, 21 Sekunden                                     0
janick_laeng         1 Tage, 10 Stunden, 47 Minuten, 21 Sekunden                                     0
janik_affolter       1 Tage, 10 Stunden, 47 Minuten, 58 Sekunden                                     0
janik_baltisberger   1 Tage, 10 Stunden, 45 Minuten, 50 Sekunden                                     0
janik_schray         1 Tage, 10 Stunden, 45 Minuten, 49 Sekunden                                     0
janina_breitschaedel 1 Tage, 10 Stunden, 45 Minuten, 54 Sekunden                                     0
janina_felber        1 Tage, 10 Stunden, 46 Minuten, 16 Sekunden                                     0
janina_zumofen       1 Tage, 10 Stunden, 46 Minuten, 28 Sekunden                                     0
janine_henzi         1 Tage, 10 Stunden, 48 Minuten, 9 Sekunden                                      0
janine_kunz2         1 Tage, 10 Stunden, 45 Minuten, 10 Sekunden                                     0
janine_stampfli      1 Tage, 10 Stunden, 48 Minuten, 5 Sekunden                                      0
janis_hasanow        1 Tage, 10 Stunden, 45 Minuten, 6 Sekunden                                      0
janis_huser          1 Tage, 10 Stunden, 47 Minuten, 28 Sekunden                                     0
janis_marti          1 Tage, 10 Stunden, 45 Minuten, 51 Sekunden                                     0
janis_stalder        1 Tage, 10 Stunden, 46 Minuten, 56 Sekunden                                     0
jannick_kocher       1 Tage, 10 Stunden, 47 Minuten, 23 Sekunden                                     0
jannick_schwarzentru 1 Tage, 10 Stunden, 37 Minuten, 6 Sekunden                                      0
jannik_luethi        1 Tage, 10 Stunden, 45 Minuten, 55 Sekunden                                     0
jannik_weber         1 Tage, 10 Stunden, 46 Minuten, 45 Sekunden                                     0
jannis_fankhauser    1 Tage, 10 Stunden, 47 Minuten, 40 Sekunden                                     0
jansamuel_jost       1 Tage, 10 Stunden, 45 Minuten, 17 Sekunden                                     0
jarno_fuhrer         1 Tage, 10 Stunden, 47 Minuten, 37 Sekunden                                     0
jaschaleon_widmer    1 Tage, 10 Stunden, 46 Minuten, 27 Sekunden                                     0
jasmin_kreienbuehl   1 Tage, 10 Stunden, 45 Minuten, 0 Sekunden                                      0
jasmin_lehmann       1 Tage, 10 Stunden, 44 Minuten, 38 Sekunden                                     0
jasmin_reichmuth     1 Tage, 10 Stunden, 47 Minuten, 7 Sekunden                                      0
jasmin_wagner        1 Tage, 10 Stunden, 45 Minuten, 38 Sekunden                                     0
jasmin_winzer        1 Tage, 10 Stunden, 46 Minuten, 11 Sekunden                                     0
jasmine_fuerst       1 Tage, 10 Stunden, 48 Minuten, 10 Sekunden                                     0
jasmine_nussbaumer   1 Tage, 10 Stunden, 45 Minuten, 55 Sekunden                                     0
jason_herzig         1 Tage, 10 Stunden, 47 Minuten, 29 Sekunden                                     0
jasper_lovedoreal    1 Tage, 10 Stunden, 47 Minuten, 18 Sekunden                                     0
jennifer_boesch      1 Tage, 10 Stunden, 47 Minuten, 53 Sekunden                                     0
jenny_steinegger     1 Tage, 10 Stunden, 46 Minuten, 38 Sekunden                                     0
jeremeah_apawan      1 Tage, 10 Stunden, 47 Minuten, 57 Sekunden                                     0
jeremy_temmel        1 Tage, 10 Stunden, 46 Minuten, 39 Sekunden                                     0
jeremyluca_hirschi   1 Tage, 10 Stunden, 47 Minuten, 28 Sekunden                                     0
jerome_galli         1 Tage, 10 Stunden, 47 Minuten, 36 Sekunden                                     0
jesinthan_ganeshalin 1 Tage, 10 Stunden, 37 Minuten, 8 Sekunden                                      0
jessica_gfeller      1 Tage, 10 Stunden, 46 Minuten, 24 Sekunden                                     0
jessica_ledermann    1 Tage, 10 Stunden, 48 Minuten, 8 Sekunden                                      0
jessica_ribeiro      1 Tage, 10 Stunden, 44 Minuten, 41 Sekunden                                     0
jesus_merchan        1 Tage, 10 Stunden, 47 Minuten, 15 Sekunden                                     0
jetmir_zairi         1 Tage, 10 Stunden, 45 Minuten, 10 Sekunden                                     0
jill_huegli          1 Tage, 10 Stunden, 47 Minuten, 28 Sekunden                                     0
jirawat_penthai      1 Tage, 10 Stunden, 47 Minuten, 9 Sekunden                                      0
jo_albisser          1 Tage, 10 Stunden, 48 Minuten, 13 Sekunden                                     0
joana_brugger        1 Tage, 10 Stunden, 44 Minuten, 39 Sekunden                                     0
jocelyn_meier        1 Tage, 10 Stunden, 47 Minuten, 15 Sekunden                                     0
joel_carazzai        1 Tage, 10 Stunden, 45 Minuten, 56 Sekunden                                     0
joel_furrer          1 Tage, 10 Stunden, 46 Minuten, 25 Sekunden                                     0
joel_gilgen          1 Tage, 10 Stunden, 47 Minuten, 34 Sekunden                                     0
joel_guiborat        1 Tage, 10 Stunden, 45 Minuten, 21 Sekunden                                     0
joel_haenggi         1 Tage, 10 Stunden, 46 Minuten, 5 Sekunden                                      0
joel_jaeggi          1 Tage, 10 Stunden, 47 Minuten, 27 Sekunden                                     0
joel_javet           1 Tage, 10 Stunden, 47 Minuten, 27 Sekunden                                     0
joel_kamber          1 Tage, 10 Stunden, 48 Minuten, 14 Sekunden                                     0
joel_kummli          1 Tage, 10 Stunden, 45 Minuten, 5 Sekunden                                      0
joel_marugg          1 Tage, 10 Stunden, 45 Minuten, 33 Sekunden                                     0
joel_mueller2        1 Tage, 10 Stunden, 45 Minuten, 23 Sekunden                                     0
joel_rindlisbacher   1 Tage, 10 Stunden, 47 Minuten, 6 Sekunden                                      0
joel_schwaegli       1 Tage, 10 Stunden, 45 Minuten, 5 Sekunden                                      0
joel_winterberg      1 Tage, 10 Stunden, 46 Minuten, 39 Sekunden                                     0
joel_zumtaugwald     1 Tage, 10 Stunden, 46 Minuten, 41 Sekunden                                     0
joeldavid_vuille     1 Tage, 10 Stunden, 46 Minuten, 30 Sekunden                                     0
joelyn_wyss          1 Tage, 10 Stunden, 46 Minuten, 43 Sekunden                                     0
joeme_vandermeulen   1 Tage, 10 Stunden, 46 Minuten, 50 Sekunden                                     0
johnloic_lebus-ritte 1 Tage, 10 Stunden, 37 Minuten, 1 Sekunden                                      0
jonas_durrer         1 Tage, 10 Stunden, 45 Minuten, 53 Sekunden                                     0
jonas_flueeli        1 Tage, 10 Stunden, 47 Minuten, 39 Sekunden                                     0
jonas_fluri          1 Tage, 10 Stunden, 47 Minuten, 38 Sekunden                                     0
jonas_gerber         1 Tage, 10 Stunden, 47 Minuten, 34 Sekunden                                     0
jonas_ineichen       1 Tage, 10 Stunden, 45 Minuten, 1 Sekunden                                      0
jonas_knoerr         1 Tage, 10 Stunden, 46 Minuten, 40 Sekunden                                     0
jonas_mueller        1 Tage, 10 Stunden, 46 Minuten, 29 Sekunden                                     0
jonathan_garcia      1 Tage, 10 Stunden, 47 Minuten, 35 Sekunden                                     0
jonathan_holzer      1 Tage, 10 Stunden, 48 Minuten, 9 Sekunden                                      0
jonathan_kohler      1 Tage, 10 Stunden, 46 Minuten, 17 Sekunden                                     0
jonathan_niemelae    1 Tage, 10 Stunden, 47 Minuten, 12 Sekunden                                     0
jonathan_orlandi     1 Tage, 10 Stunden, 45 Minuten, 19 Sekunden                                     0
jordi_freudiger      1 Tage, 10 Stunden, 47 Minuten, 38 Sekunden                                     0
joris_hummel         1 Tage, 10 Stunden, 47 Minuten, 28 Sekunden                                     0
josedaniel_martinez  1 Tage, 10 Stunden, 45 Minuten, 32 Sekunden                                     0
josef_zahradnik      1 Tage, 10 Stunden, 46 Minuten, 42 Sekunden                                     0
josefine_schaefer    1 Tage, 10 Stunden, 45 Minuten, 42 Sekunden                                     0
josemiguel_camuendou 1 Tage, 10 Stunden, 37 Minuten, 1 Sekunden                                      0
joseph_sager         1 Tage, 10 Stunden, 47 Minuten, 4 Sekunden                                      0
josephine_rickli     1 Tage, 10 Stunden, 45 Minuten, 3 Sekunden                                      0
joshua_baertschi     1 Tage, 10 Stunden, 47 Minuten, 56 Sekunden                                     0
joshua_eggenberger   1 Tage, 10 Stunden, 48 Minuten, 3 Sekunden                                      0
jovan_ljubic         1 Tage, 10 Stunden, 47 Minuten, 19 Sekunden                                     0
jovan_turkovic       1 Tage, 10 Stunden, 46 Minuten, 51 Sekunden                                     0
jozef_ceni           1 Tage, 10 Stunden, 46 Minuten, 34 Sekunden                                     0
judith_joss          1 Tage, 10 Stunden, 46 Minuten, 3 Sekunden                                      0
